Z,M,Group,Date
8.681,1.93,1,8/19/2017
6.057,2.84,1,1/31/2019
5.743,2.48,1,2/10/2019
5.465,1.64,1,2/20/2019
6.054,1.54,1,2/21/2019
6.178,2.03,1,2/22/2019
5.981,1.86,1,3/5/2019
5.864,2.15,1,3/6/2019
5.192,1.73,1,3/6/2019
6.196,3.02,1,3/22/2019
6.372,2.51,1,3/23/2019
6.111,1.79,1,3/28/2019
6.156,1.93,1,3/28/2019
4.915,2.02,1,5/14/2019
5.57,1.82,1,5/15/2019
6.189,3.31,1,6/19/2019
6.099,2.37,1,6/19/2019
6.208,2.38,1,6/19/2019
7.051,2.17,1,6/21/2019
6.22,1.89,1,6/23/2019
6.049,2.18,1,8/22/2019
5.691,2.54,1,8/22/2019
6.209,1.96,1,11/5/2019
6.37,2.95,1,3/12/2020
6.993,1.72,1,3/22/2020
6.29,1.83,1,5/8/2020
6.747,1.87,1,9/20/2020
7.276,1.82,1,10/19/2020
6.79,2.4,1,11/4/2020
6.874,2.09,1,11/28/2020
6.69,1.59,1,11/28/2020
6.726,1.64,1,11/28/2020
6.482,1.28,1,11/29/2020
6.247,1.46,1,11/30/2020
6.667,1.74,1,12/3/2020
8.625,1.58,1,12/19/2020
6.113,1.37,1,1/3/2021
6.006,2.01,1,1/4/2021
7.382,1.87,1,1/28/2021
7.123,1.74,1,1/28/2021
7.359,2.37,1,1/28/2021
7.381,1.5,1,1/28/2021
6.283,1.89,1,3/15/2021
6.265,1.56,1,3/15/2021
6.838,1.94,1,3/20/2021
6.679,1.5,1,3/20/2021
6.653,1.95,1,4/1/2021
6.711,2.3,1,4/2/2021
6.621,1.98,1,4/5/2021
6.628,2.17,1,4/5/2021
6.668,2.14,1,4/6/2021
6.732,1.4,1,4/9/2021
6.54,2.39,1,4/10/2021
6.62,1.61,1,4/15/2021
7.016,1.89,1,4/16/2021
7.082,1.77,1,4/16/2021
6.583,2.51,1,4/20/2021
6.624,1.89,1,4/20/2021
6.682,1.92,1,4/20/2021
6.502,1.98,1,4/24/2021
6.389,1.91,1,4/25/2021
6.664,1.63,1,4/25/2021
6.599,1.37,1,4/25/2021
6.505,2.11,1,4/25/2021
6.662,2.35,1,4/28/2021
6.806,2.16,1,5/5/2021
7.072,2.05,1,5/10/2021
6.782,1.6,1,6/3/2021
6.813,1.38,1,6/3/2021
6.434,2.15,1,6/8/2021
6.437,2.73,1,6/8/2021
6.488,2.72,1,6/10/2021
6.634,1.72,1,6/10/2021
6.715,1.6,1,6/11/2021
6.704,1.83,1,6/12/2021
6.566,2.82,1,6/14/2021
6.641,1.88,1,6/14/2021
6.573,1.4,1,6/15/2021
6.495,1.57,1,6/15/2021
6.654,2.15,1,6/15/2021
6.463,1.14,1,6/17/2021
6.488,1.9,1,6/17/2021
6.613,1.29,1,6/17/2021
6.425,2.36,1,6/17/2021
6.436,1.41,1,6/17/2021
6.436,2.5,1,6/17/2021
6.649,2.55,1,6/17/2021
6.372,2,1,6/17/2021
6.551,1.64,1,6/18/2021
6.668,1.73,1,6/24/2021
6.204,1.73,1,7/7/2021
6.375,1.84,1,7/7/2021
6.672,2.31,1,7/9/2021
6.657,1.8,1,7/9/2021
6.704,1.55,1,7/9/2021
6.506,1.79,1,7/20/2021
6.851,1.86,1,7/21/2021
6.824,1.44,1,7/21/2021
6.565,1.19,1,7/30/2021
7.15,1.84,1,8/7/2021
6.351,1.49,1,9/22/2021
6.439,1.83,1,9/23/2021
6.469,1.84,1,9/23/2021
6.525,1.71,1,9/24/2021
6.479,2.14,1,9/28/2021
6.234,1.96,1,10/17/2021
6.293,2.87,1,10/18/2021
6.383,1.91,1,10/20/2021
6.496,2.07,1,10/26/2021
6.257,2.3,1,11/4/2021
6.419,2.48,1,11/5/2021
6.713,2.17,1,11/8/2021
6.674,2.19,1,11/13/2021
6.583,2.03,1,11/20/2021
6.249,2.15,1,11/26/2021
6.328,2.62,1,11/26/2021
6.548,2.41,1,12/28/2021
7.101,2.57,1,1/15/2022
6.699,2.15,1,2/4/2022
6.785,2.34,1,2/7/2022
6.544,2.07,1,2/10/2022
5.746,2.59,1,2/24/2022
6.186,2.51,1,3/9/2022
7.029,2.27,1,3/25/2022
5.974,1.98,1,5/8/2022
7.648,2.55,1,6/3/2022
6.463,2.51,1,6/4/2022
5.978,2.09,1,7/2/2022
6.157,2.15,1,7/31/2022
6.636,2.03,1,11/3/2022
6.621,2.13,1,11/20/2022
6.529,2.44,1,2/18/2023
6.849,2.12,1,2/18/2023
6.399,2.03,1,2/27/2023
6.484,2,1,2/28/2023
6.43,2.12,1,2/28/2023
6.884,2.3,1,3/18/2023
6.758,1.95,1,3/19/2023
4.562,1.47,2,5/12/2018
4.488,1.85,2,5/13/2018
3.6,1.8,2,5/15/2018
4.836,1.8,2,5/16/2018
4.098,2.71,2,5/18/2018
4.465,2.79,2,5/18/2018
4.685,1.76,2,5/19/2018
4.488,1.96,2,5/20/2018
4.242,2.92,2,5/20/2018
4.505,2.1,2,5/24/2018
4.153,2.4,2,5/29/2018
4.433,2.11,2,6/1/2018
1.932,1.97,2,6/8/2018
4.694,1.62,2,6/19/2018
4.296,1.95,2,6/19/2018
3.375,1.57,2,6/24/2018
4.61,2.13,2,6/27/2018
4.423,2.19,2,6/27/2018
4.206,2.78,2,6/28/2018
4.017,2.72,2,6/28/2018
4.676,2.02,2,6/29/2018
4.033,1.64,2,6/29/2018
3.399,2.88,2,6/29/2018
4.595,1.68,2,6/30/2018
3.927,2.95,2,6/30/2018
4.997,1.85,2,6/30/2018
4.256,2.72,2,7/1/2018
4.412,2.33,2,7/2/2018
2.812,1.62,2,7/2/2018
2.397,1.49,2,7/3/2018
5.049,2.6,2,7/3/2018
4.376,2.88,2,7/9/2018
4.248,1.69,2,7/9/2018
4.556,2.29,2,7/9/2018
4.721,1.67,2,7/9/2018
3.693,3.1,2,7/12/2018
4.086,1.59,2,7/12/2018
3.252,1.7,2,7/12/2018
2.861,1.66,2,7/12/2018
4.106,2.81,2,7/14/2018
4.431,1.96,2,7/18/2018
4.368,1.89,2,7/25/2018
3.399,1.71,2,7/25/2018
2.617,1.79,2,7/25/2018
4.497,2.67,2,8/1/2018
3.644,1.66,2,8/1/2018
4.133,2.46,2,8/6/2018
4.18,2.54,2,8/11/2018
4.448,2.47,2,8/14/2018
4.362,1.8,2,8/30/2018
5.002,2.14,2,9/29/2018
5.123,2.09,2,9/29/2018
4.986,1.83,2,12/23/2018
3.968,2.98,2,12/23/2018
4.376,2.48,2,12/23/2018
4.591,2.21,2,12/23/2018
4.125,2.25,2,12/23/2018
4.422,3.2,2,12/23/2018
4.035,1.86,2,12/23/2018
4.563,1.74,2,12/23/2018
3.497,2.03,2,3/9/2019
4.766,2.18,2,5/15/2019
5.739,2.01,2,5/25/2019
5.553,2.9,2,5/25/2019
5.023,2.58,2,6/16/2019
4.91,2.59,2,6/16/2019
4.592,2.15,2,6/17/2019
4.74,2.66,2,10/8/2019
5.306,2.42,2,10/8/2019
5.365,2.23,2,10/9/2019
5.21,1.65,2,12/10/2020
5.132,1.39,2,12/10/2020
5.055,1.65,2,12/10/2020
5.139,1.47,2,12/10/2020
5.107,2.1,2,12/10/2020
5.075,1.88,2,12/10/2020
5.093,2.31,2,12/10/2020
5.041,2.36,2,12/10/2020
5.012,1.79,2,12/10/2020
5.732,1.55,2,1/27/2021
5.647,2.96,2,1/27/2021
5.725,1.73,2,1/27/2021
5.829,1.51,2,1/27/2021
5.785,1.89,2,1/28/2021
5.58,1.63,2,1/30/2021
5.588,1.9,2,2/5/2021
7.868,1.63,2,8/21/2021
7.838,2.01,2,9/10/2021
5.169,2.65,2,3/29/2022
5.534,2.48,2,7/31/2022
7.803,2.2,2,7/31/2022
5.703,2.41,2,7/31/2022
5.849,0.86,2,3/26/2023
6.209,1.38,3,5/27/2018
13.7,1.4,3,6/19/2018
3.032,2.2,3,7/9/2018
7.447,2.45,3,7/26/2020
6.298,2.09,3,8/22/2020
7.269,1.6,3,10/12/2020
6.658,1.32,3,10/31/2020
5.643,1.31,3,11/16/2020
6.219,2.1,3,11/20/2020
6.179,1.7,3,11/30/2020
6.484,1.65,3,12/2/2020
6.184,2.21,3,12/7/2020
6.113,1.13,3,12/8/2020
6.094,1.64,3,12/8/2020
6.344,1.59,3,12/15/2020
6.458,1.62,3,12/20/2020
6.432,1.64,3,12/20/2020
6.349,1.57,3,12/21/2020
6.6,2.09,3,12/23/2020
6.567,1.56,3,12/25/2020
6.413,2.26,3,12/25/2020
6.156,2.29,3,12/29/2020
5.954,1.55,3,12/30/2020
5.94,1.66,3,12/30/2020
5.913,1.98,3,12/30/2020
6.361,1.56,3,1/2/2021
6.22,1.51,3,1/5/2021
6.194,2.08,3,1/6/2021
6.079,1.53,3,1/20/2021
7.359,2.25,3,1/22/2021
7.394,1.95,3,1/24/2021
6.153,2.28,3,1/27/2021
5.975,1.74,3,1/27/2021
5.968,2.32,3,1/27/2021
6.569,1.42,3,1/28/2021
7.507,1.77,3,1/29/2021
6.535,1.46,3,1/29/2021
6.477,1.52,3,1/31/2021
6.385,2.3,3,1/31/2021
7.427,2.11,3,2/2/2021
7.392,1.93,3,2/2/2021
6.583,2.21,3,2/3/2021
7.428,2.73,3,2/6/2021
6.575,2.02,3,2/16/2021
6.004,1.68,3,2/16/2021
6.538,1.72,3,2/24/2021
7.461,1.69,3,2/25/2021
7.295,1.27,3,2/25/2021
7.383,2.4,3,2/25/2021
6.163,1.41,3,2/27/2021
6.611,2.24,3,3/19/2021
6.169,2.29,3,3/21/2021
7.391,2.28,3,3/27/2021
7.279,1.47,3,3/27/2021
5.943,1.67,3,4/7/2021
6.024,1.71,3,4/7/2021
5.997,1.45,3,4/7/2021
6.427,2.48,3,4/12/2021
6.254,1.79,3,4/13/2021
6.587,1.82,3,4/19/2021
6.42,2.19,3,5/1/2021
7.654,2.26,3,5/3/2021
6.319,1.67,3,5/4/2021
6.29,1.58,3,5/5/2021
6.642,1.41,3,5/6/2021
7.68,1.74,3,5/7/2021
7.593,1.41,3,5/10/2021
6.477,1.42,3,5/12/2021
6.652,1.47,3,5/12/2021
6.626,2.09,3,5/13/2021
6.736,1.69,3,5/17/2021
7.535,1.46,3,5/23/2021
7.597,1.43,3,5/28/2021
7.561,1.53,3,5/28/2021
6.538,1.74,3,5/30/2021
6.133,2.16,3,6/4/2021
6.032,1.58,3,6/4/2021
6.169,1.42,3,6/4/2021
5.966,1.69,3,6/4/2021
6.096,2.36,3,6/4/2021
6.527,2.1,3,6/19/2021
6.582,1.48,3,6/30/2021
7.56,1.55,3,7/3/2021
7.555,1.87,3,7/9/2021
6.596,2.23,3,7/14/2021
6.609,2,3,7/20/2021
6.768,1.55,3,7/22/2021
6.161,2.33,3,7/24/2021
6.866,1.7,3,8/15/2021
7.667,1.53,3,8/22/2021
6.594,1.66,3,8/29/2021
6.659,1.88,3,8/30/2021
6.156,1.78,3,9/3/2021
7.401,2.61,3,9/10/2021
7.549,2.18,3,9/12/2021
7.549,1.86,3,9/12/2021
7.507,2.09,3,9/19/2021
6.312,2.53,3,9/20/2021
6.176,1.73,3,9/21/2021
7.662,1.51,3,9/22/2021
6.28,3.25,3,9/24/2021
6.459,2.21,3,9/26/2021
6.688,2.03,3,10/3/2021
6.654,2.56,3,10/12/2021
6.538,2.06,3,10/20/2021
6.192,2.05,3,10/24/2021
6.72,2.11,3,10/27/2021
7.589,1.87,3,10/30/2021
6.673,1.98,3,11/3/2021
6.599,2.12,3,11/5/2021
6.553,1.81,3,11/6/2021
7.678,2.2,3,11/18/2021
6.472,1.94,3,11/18/2021
6.553,2.05,3,11/19/2021
6.753,2.17,3,11/30/2021
6.655,2.23,3,12/6/2021
6.511,2.05,3,1/4/2022
6.449,1.47,3,1/4/2022
7.413,2.33,3,1/20/2022
7.573,1.96,3,1/25/2022
7.54,1.95,3,1/30/2022
7.407,2.55,3,1/30/2022
6.932,2.08,3,2/14/2022
5.849,2.26,3,3/1/2022
6.788,1.84,3,3/4/2022
7.4,2.61,3,4/10/2022
7.493,1.9,3,6/9/2022
7.597,2.42,3,6/19/2022
6.453,2.35,3,6/28/2022
7.906,1.95,3,7/22/2022
6.598,2.2,3,7/29/2022
5.94,2.91,3,8/12/2022
7.423,2.36,3,8/30/2022
6.755,2.11,3,9/22/2022
6.687,2.08,3,9/23/2022
7.711,1.96,3,10/19/2022
6.823,1.79,3,10/19/2022
7.45,1.99,3,10/22/2022
7.407,2.18,3,10/31/2022
7.109,1.8,3,11/5/2022
6.534,1.98,3,11/25/2022
6.573,1.91,3,11/25/2022
6.497,1.77,3,11/25/2022
6.135,2.04,3,11/28/2022
5.986,2.21,3,11/28/2022
7.152,2.29,3,12/11/2022
7.285,1.34,3,12/16/2022
7.765,2.06,3,1/6/2023
6.381,2.2,3,1/9/2023
5.998,1.33,3,1/26/2023
7.12,1.94,3,2/2/2023
6.629,2.14,3,2/3/2023
7.516,1.64,3,2/15/2023
7.672,2.2,3,2/25/2023
7.603,2.34,3,2/25/2023
7.417,2.29,3,2/28/2023
6.509,1.86,3,2/28/2023
6.646,1.87,3,2/28/2023
7.345,2.31,3,3/6/2023
7.465,1.85,3,3/7/2023
6.599,1.93,3,3/17/2023
7.142,1.12,3,3/27/2023
7.165,0.83,3,3/30/2023
6.582,2,3,4/1/2023
6.635,1.36,3,4/1/2023
7.097,0.92,3,4/2/2023
7.144,1.92,3,4/26/2023
6.334,1.53,4,10/3/2017
3.155,1.45,4,5/15/2018
0.024,1.44,4,6/4/2018
3.546,1.88,4,6/29/2018
3.179,2.1,4,7/2/2018
7.41,1.64,4,8/21/2018
7.186,1.96,4,2/23/2020
7.51,2.12,4,10/8/2021
7.892,1.95,4,4/25/2022
8.075,2.88,4,9/30/2022
7.929,3.23,4,9/30/2022
7.948,2.27,4,10/1/2022
7.773,2.44,4,10/3/2022
7.721,2.06,4,10/6/2022
7.919,1.97,4,10/11/2022
7.592,2.25,4,10/17/2022
8.101,1.89,4,11/15/2022
8.083,2.11,4,11/15/2022
8.151,2.26,4,11/15/2022
8.013,1.8,4,11/18/2022
8.103,2.67,4,11/18/2022
7.674,2.84,4,11/20/2022
7.894,1.99,4,11/28/2022
7.634,1.87,4,12/11/2022
7.586,1.88,4,12/11/2022
7.951,3.21,4,1/4/2023
7.792,1.68,4,1/7/2023
7.834,2.1,4,1/9/2023
4.538,0.23,4,1/12/2023
7.884,1.62,4,2/2/2023
7.8,2.42,4,4/29/2023
4.562,1.98,5,2/12/2019
4.518,2.04,5,2/14/2019
3.971,1.87,5,2/18/2019
5.364,2.41,5,5/18/2019
5.713,1.77,5,6/1/2019
4.206,2.71,5,6/27/2019
4.25,2.61,5,6/28/2019
5.324,2.05,5,6/28/2019
5.819,1.97,5,6/29/2019
8.534,1.73,5,3/4/2021
8.493,1.61,5,3/6/2021
8.483,1.96,5,3/12/2021
8.625,1.44,5,3/17/2021
8.062,1.39,5,4/27/2021
8.261,1.61,5,5/2/2021
7.888,2.23,5,5/10/2021
7.802,2.42,5,5/11/2021
7.718,1.6,5,5/13/2021
8.507,1.69,5,5/31/2021
8.716,1.35,5,6/12/2021
8.173,1.38,5,6/15/2021
8.706,2.45,5,7/6/2021
8.685,2.23,5,7/6/2021
8.561,2.19,5,7/6/2021
8.626,1.95,5,7/6/2021
8.568,2.06,5,7/10/2021
7.976,1.52,5,7/16/2021
8.174,2.7,5,7/17/2021
7.954,1.8,5,7/18/2021
8.313,1.4,5,7/20/2021
8.334,1.55,5,7/21/2021
8.053,1.81,5,7/23/2021
8.547,2.05,5,7/31/2021
8.405,2.48,5,7/31/2021
8.221,1.78,5,7/31/2021
8.29,1.84,5,8/3/2021
8.567,1.95,5,8/3/2021
8.332,1.7,5,8/5/2021
8.585,1.84,5,8/25/2021
8.353,2.2,5,10/6/2021
8.26,2.48,5,10/7/2021
8.441,3.77,5,10/10/2021
8.342,2.77,5,6/6/2022
6.212,2.17,6,12/6/2019
6.671,1.85,6,3/28/2020
7.869,2.33,6,8/6/2020
7.171,1.94,6,11/29/2020
7.001,1.45,6,12/27/2020
7.092,2.72,6,1/19/2021
6.978,1.53,6,1/19/2021
7.025,1.5,6,1/20/2021
7.992,1.63,6,3/12/2021
7.174,2.42,6,3/15/2021
7.083,1.89,6,4/9/2021
7.043,1.94,6,4/21/2021
7.576,1.55,6,5/27/2021
7.352,2.61,6,7/4/2021
7.251,2,6,7/5/2021
7.477,2.26,6,7/16/2021
7.865,2.29,6,11/20/2021
7.047,2.2,6,7/24/2022
7.106,2.34,6,8/17/2022
7.045,2.15,6,11/23/2022
7.427,1.95,6,3/29/2023
7.289,1.13,6,3/30/2023
7.3,1.17,6,3/31/2023
6.788,1.15,6,4/1/2023
5.797,1.85,7,4/7/2020
5.652,1.88,7,8/1/2020
5.567,2.13,7,10/20/2020
5.754,2.42,7,11/17/2020
5.808,1.53,7,11/17/2020
5.646,1.96,7,12/12/2020
5.518,1.71,7,12/12/2020
5.738,2.17,7,9/23/2021
5.66,1.95,7,11/6/2021
5.498,2.2,7,5/26/2022
NA,1.73,8,8/14/2017
6.255,2.94,8,4/25/2020
6.411,1.95,8,8/16/2020
6.455,3.38,8,8/16/2020
6.528,1.71,8,9/29/2020
6.715,2.15,8,11/16/2020
6.711,2.04,8,4/3/2021
7.147,1.63,8,5/6/2021
7.35,2.51,8,6/27/2021
6.388,2,8,7/8/2021
6.483,2.3,8,10/9/2021
7.274,2.06,8,10/13/2021
7.455,2.39,8,10/20/2021
7.66,2.32,8,11/19/2021
7.525,3.56,8,11/28/2021
7.218,2.1,8,12/9/2021
7.638,1.77,8,12/13/2021
7.229,1.57,8,2/18/2022
6.115,2.79,8,8/23/2022
6.423,2.25,8,8/26/2022
7.674,2.31,8,10/2/2022
6.764,1.92,8,11/8/2022
7.56,2.83,8,11/18/2022
7.485,2.9,8,11/18/2022
7.484,2.77,8,11/22/2022
6.812,2.16,8,2/16/2023
7.683,1.27,8,3/31/2023
5.858,2.23,9,6/25/2020
5.842,2.34,9,6/26/2020
5.86,2.48,9,6/26/2020
5.819,2.56,9,7/1/2020
6.027,2.67,9,7/25/2020
5.991,2.95,9,9/4/2020
6.171,2.13,9,9/6/2020
6.634,2.19,9,9/15/2020
5.969,1.26,9,11/1/2020
5.775,2.66,9,11/1/2020
6.163,1.13,9,11/1/2020
6.111,1.81,9,11/10/2020
6.197,1.44,9,11/19/2020
6.434,1.23,9,11/25/2020
6.105,2.37,9,4/2/2021
6.163,1.76,9,4/3/2021
5.952,2.97,9,4/3/2021
6.37,2,9,4/8/2021
6.638,1.54,9,4/12/2021
6.201,1.3,9,8/1/2021
6.044,1.89,9,8/2/2021
6.252,1.99,9,8/23/2021
6.409,1.79,9,8/23/2021
5.96,1.94,9,9/19/2021
6.298,1.88,9,10/6/2021
5.535,2.52,9,12/13/2021
6.586,2.18,9,1/16/2022
6.222,3.47,9,1/24/2022
6.063,2.22,9,1/24/2022
6.037,2.06,9,1/26/2022
6.607,2.82,9,3/15/2022
6.046,2.21,9,4/15/2022
5.54,2.15,9,5/19/2022
6.574,2.04,9,5/19/2022
7.263,1.96,9,5/30/2022
6.981,2.28,9,6/20/2022
6.799,2.46,9,6/30/2022
7.121,2.53,9,8/23/2022
6.831,2.4,9,9/20/2022
7.249,2.27,9,9/25/2022
7.183,2,9,9/26/2022
7.191,1.74,9,10/21/2022
5.898,2.86,9,12/18/2022
6.366,2.4,9,12/21/2022
6.432,2.04,9,12/21/2022
6.194,2.81,9,12/21/2022
6.602,2.14,9,12/25/2022
6.984,2.31,9,12/27/2022
6.995,1.9,9,12/28/2022
6.833,2.11,9,1/9/2023
7.352,2.36,9,1/10/2023
7.245,2.38,9,1/22/2023
7.716,1.83,9,2/2/2023
7.32,2.44,9,2/9/2023
7.476,2.58,9,2/9/2023
7.245,2.49,9,2/13/2023
7.233,2.37,9,3/5/2023
6.364,2.68,9,3/17/2023
6.543,1.35,9,3/26/2023
7.372,1.08,9,3/27/2023
6.535,1.65,9,4/3/2023
6.98,2,10,9/17/2019
8.487,3.36,10,2/26/2020
8.209,1.83,10,3/1/2020
5.887,1.7,10,9/15/2020
5.896,1.48,10,10/19/2020
5.834,1.39,10,2/7/2021
6.627,1.52,10,2/23/2021
6.626,1.87,10,4/13/2021
5.427,1.59,10,4/15/2021
6.98,1.51,10,4/26/2021
5.784,1.41,10,5/12/2021
6.809,1.28,10,6/14/2021
6.74,1.3,10,6/14/2021
5.914,1.87,10,6/22/2021
6.655,1.99,10,6/23/2021
5.582,1.96,10,12/9/2021
5.182,3.56,10,1/4/2022
7.589,2.02,10,1/6/2022
5.71,2.32,10,1/7/2022
5.604,2.72,10,1/9/2022
5.707,2.19,10,2/22/2022
7.632,2.31,10,3/20/2022
7.041,2.22,10,3/22/2022
6.997,2.6,10,4/2/2022
6.955,2.37,10,4/8/2022
6.941,2.73,10,4/9/2022
7.08,2.46,10,4/9/2022
7.302,1.94,10,4/12/2022
7.136,2.31,10,4/12/2022
6.993,3.03,10,4/17/2022
7.045,2.08,10,4/21/2022
7.103,2.05,10,5/19/2022
7.137,2.39,10,6/9/2022
7.595,2.88,10,6/19/2022
6.955,2.1,10,6/30/2022
6.893,2.87,10,8/10/2022
6.963,2.26,10,8/25/2022
7.126,2.31,10,8/25/2022
7.171,2.02,10,8/25/2022
6.983,2.11,10,8/25/2022
6.905,1.98,10,11/6/2022
6.767,2.01,10,11/8/2022
7.101,2.32,10,11/9/2022
7.134,1.84,10,12/18/2022
6.914,2.12,10,12/18/2022
7.268,1.34,10,1/20/2023
7.094,2.45,10,2/18/2023
7.325,1.13,10,3/27/2023
7.738,1.75,10,4/7/2023
5.559,3.55,10,4/10/2023
7.589,3.12,11,3/24/2022
7.295,2.64,11,3/24/2022
7.387,2.5,11,3/25/2022
7.282,2.34,11,3/28/2022
7.454,2.63,11,3/29/2022
7.76,1.44,11,4/18/2022
7.787,1.47,11,4/18/2022
7.282,2.27,11,5/28/2022
7.675,2.28,11,5/29/2022
6.003,2.14,11,6/19/2022
6.077,2.31,11,7/17/2022
6.126,2.26,11,7/17/2022
6.218,2.2,11,8/2/2022
7.494,2.04,11,9/12/2022
7.026,2.32,11,11/23/2022
7.59,2.12,11,11/30/2022
7.623,2.6,11,12/3/2022
7.545,2.16,11,12/3/2022
7.287,3.02,11,12/3/2022
7.693,2.04,11,12/3/2022
7.169,3.31,11,12/3/2022
7.423,2.28,11,12/3/2022
7.65,2.1,11,12/4/2022
7.066,2.26,11,12/4/2022
7.137,2.74,11,12/10/2022
8.316,2,11,12/11/2022
7.129,2.01,11,12/13/2022
7.41,2.83,11,12/29/2022
7.477,2.12,11,12/30/2022
7.115,2.25,11,3/19/2023
7.16,2.46,11,3/19/2023
7.85,2.86,12,3/10/2022
8.152,2.01,12,3/19/2022
7.585,3.98,12,3/24/2022
7.687,2.57,12,3/25/2022
8.004,2.42,12,3/26/2022
7.991,2.71,12,3/26/2022
7.849,2.63,12,3/27/2022
7.906,2.85,12,3/28/2022
7.583,2.66,12,3/28/2022
7.782,2.58,12,3/30/2022
7.845,2.24,12,5/8/2022
8.265,2.24,12,12/4/2022
7.565,4.06,13,6/8/2022
7.664,2.25,14,2/9/2023
7.768,2.51,14,2/10/2023
7.696,1.99,14,2/28/2023
7.033,3.17,14,3/10/2023
NA,0.506,15,11/12/2016
NA,0.712,15,8/12/2017
NA,0.579,15,8/13/2017
NA,0.544,15,8/14/2017
NA,0.145,15,8/14/2017
NA,0.912,15,8/14/2017
NA,0.449,15,8/15/2017
NA,0.437,15,8/17/2017
NA,0.514,15,8/23/2017
NA,0.782,15,8/23/2017
NA,0.526,15,8/24/2017
NA,0.555,15,8/26/2017
NA,0.214,15,8/29/2017
NA,0.449,15,8/29/2017
NA,1.06,15,9/27/2017
6.242,2.72,16,4/3/2020
3.502,2.21,16,4/13/2020
3.713,2.75,16,4/13/2020
6.374,2.43,16,5/2/2020
6.39,1.78,16,12/11/2020
6.288,1.4,16,12/22/2020
6.299,0.94,16,12/22/2020
6.506,2.07,16,1/17/2021
6.455,1.44,16,4/17/2021
6.54,1.56,16,4/17/2021
6.227,2.36,16,5/8/2021
6.525,1.52,16,5/28/2021
6.429,1.94,16,6/6/2021
6.284,1.77,16,7/31/2021
6.559,2.25,16,12/20/2021
6.524,3.16,16,12/23/2021
5.517,1.95,17,5/21/2020
5.572,1.83,17,5/21/2020
5.506,2.19,17,5/21/2020
5.423,2.03,17,5/23/2020
5.359,2.62,17,5/23/2020
5.502,1.81,17,8/28/2020
5.849,2.12,17,11/13/2020
5.436,1.4,17,2/6/2021
5.585,1.92,17,2/9/2021
5.518,2.3,17,2/9/2021
7.2,3.2,17,11/21/2022
7,1.9,17,11/24/2022
6.128,1.4,18,11/25/2020
6.513,1.47,18,12/2/2020
6.427,1.41,18,12/26/2020
6.446,2.01,18,12/29/2020
6.401,1.87,18,1/5/2021
6.5,1.72,18,1/5/2021
6.533,1.59,18,1/5/2021
6.434,1.63,18,1/6/2021
6.416,1.92,18,1/7/2021
6.523,1.49,18,1/7/2021
6.256,1.84,18,1/8/2021
6.214,2.3,18,1/8/2021
6.459,1.84,18,1/10/2021
6.454,1.92,18,1/18/2021
6.269,1.97,18,1/24/2021
6.287,1.57,18,1/24/2021
6.269,2.05,18,1/24/2021
6.198,1.88,18,1/24/2021
6.42,1.54,18,1/29/2021
5.924,1.78,18,2/6/2021
6.472,2.48,18,2/7/2021
5.924,1.53,18,2/7/2021
6.261,2.12,18,2/8/2021
6.604,1.33,18,2/9/2021
6.604,1.14,18,2/9/2021
6.538,1.74,18,2/17/2021
6.34,2.33,18,2/28/2021
6.357,2.41,18,3/1/2021
6.267,2.13,18,3/14/2021
6.367,1.75,18,3/15/2021
6.565,2.67,18,5/14/2021
6.466,1.85,18,5/15/2021
6.597,1.88,18,5/16/2021
8.3,1.7,18,5/17/2021
6.973,1.51,18,5/17/2021
6.496,1.55,18,8/21/2021
6.455,1.33,18,8/21/2021
5.361,2.69,18,1/11/2022
6.413,2.05,18,6/7/2022
6.485,2.37,18,6/25/2022
6.395,2.42,18,6/25/2022
5.778,2.55,19,10/24/2020
6.584,1.99,19,11/11/2020
6.205,1.71,19,1/28/2021
6.199,1.9,19,1/29/2021
6.185,1.83,19,1/30/2021
6.479,1.29,19,3/6/2021
6.437,2.1,19,3/13/2021
6.444,1.27,19,3/13/2021
6.191,1.85,19,3/15/2021
7.4,3.2,19,3/16/2021
7.5,3,19,3/19/2021
6.458,1.57,19,3/19/2021
6.461,2.22,19,3/19/2021
6.705,1.58,19,3/20/2021
6.77,2.56,19,3/27/2021
6.833,2.48,19,3/29/2021
6.888,1.86,19,3/29/2021
6.423,1.56,19,4/2/2021
8.8,2,19,4/3/2021
6.249,1.84,19,4/9/2021
6.441,1.84,19,8/16/2021
6.528,1.55,19,8/16/2021
6.175,1.63,19,8/21/2021
5.793,2.05,19,1/11/2022
6.185,2.96,19,6/23/2022
7.13,1.98,20,3/26/2020
7.204,1.89,20,4/4/2020
7.451,1.63,20,1/29/2021
7.362,1.9,20,1/29/2021
6.847,2.2,20,2/3/2021
6.872,2.87,20,2/3/2021
7.21,2.71,20,2/25/2021
6.94,1.94,20,2/25/2021
6.849,2.2,20,2/25/2021
6.767,2.42,20,2/25/2021
7.124,1.87,20,4/13/2021
6.901,2,20,4/13/2021
6.863,2.49,20,7/9/2022
6.871,1.9,21,1/19/2021
6.955,2.21,21,2/5/2021
7.001,1.99,21,2/5/2021
7.205,2.4,21,2/26/2021
7.065,1.52,21,2/26/2021
6.987,1.54,21,2/28/2021
7.085,1.76,21,3/9/2021
7.262,1.42,21,3/19/2021
8.5,2,21,4/16/2021
6.958,2.29,21,4/28/2021
6.932,2.15,21,5/12/2021
